Lon,Lat,FRP,FC
17.5,17.5,0.0,0.0
17.5,22.5,0.01625,0.0010416666666666667
17.5,27.5,0.0,0.0
17.5,32.5,0.0,0.0
17.5,37.5,0.0,0.0
17.5,42.5,0.0,0.0
22.5,-42.5,0.0,0.0
22.5,-37.5,0.0,0.0
22.5,-32.5,0.9841666666666665,0.010416666666666666
22.5,-27.5,1.949895833333333,0.021527777777777778
22.5,-22.5,0.058472222222222224,0.0024305555555555556
22.5,-17.5,20.762777777777796,0.4010416666666667
22.5,-12.5,106.05763888888907,1.8895833333333334
22.5,-7.5,374.93434027777676,5.861458333333333
22.5,-2.5,11.679097222222225,0.1951388888888889
22.5,2.5,0.07920138888888889,0.0045138888888888885
22.5,7.5,0.21541666666666662,0.006597222222222222
22.5,12.5,1.0193055555555557,0.013194444444444444
22.5,17.5,0.0,0.0
22.5,22.5,0.0,0.0
22.5,27.5,0.0,0.0
22.5,32.5,0.03284722222222222,0.0006944444444444445
22.5,37.5,0.009756944444444445,0.00034722222222222224
22.5,42.5,0.08461805555555556,0.001388888888888889
27.5,-42.5,0.0,0.0
27.5,-37.5,0.0,0.0
27.5,-32.5,0.10295138888888888,0.0024305555555555556
27.5,-27.5,1.1029861111111114,0.010763888888888889
27.5,-22.5,0.07003472222222222,0.0020833333333333333
27.5,-17.5,20.132256944444464,0.3951388888888889
27.5,-12.5,66.45513888888887,1.348263888888889
27.5,-7.5,183.66086805555554,3.254513888888889
27.5,-2.5,20.27097222222224,0.4125
27.5,2.5,0.14708333333333334,0.005555555555555556
27.5,7.5,3.6364236111111077,0.06736111111111111
27.5,12.5,0.010208333333333333,0.00034722222222222224
27.5,17.5,0.0,0.0
27.5,22.5,0.5886458333333334,0.004166666666666667
27.5,27.5,0.0,0.0
27.5,32.5,0.08118055555555555,0.003125
27.5,37.5,0.0,0.0
27.5,42.5,0.0,0.0
32.5,-42.5,0.0,0.0
32.5,-37.5,0.0,0.0
32.5,-32.5,0.0,0.0
32.5,-27.5,5.791736111111114,0.10416666666666667
32.5,-22.5,0.19062499999999996,0.00625
32.5,-17.5,2.884027777777777,0.04583333333333333
32.5,-12.5,9.953368055555561,0.20381944444444444
32.5,-7.5,6.514479166666664,0.1329861111111111
32.5,-2.5,4.172569444444444,0.09965277777777778
32.5,2.5,8.667638888888892,0.12361111111111112
32.5,7.5,16.416180555555567,0.22916666666666666
32.5,12.5,3.1424652777777777,0.04236111111111111
32.5,17.5,0.0,0.0
32.5,22.5,0.9661805555555554,0.017013888888888887
32.5,27.5,0.07381944444444445,0.001388888888888889
32.5,32.5,1.9397222222222223,0.021180555555555557
32.5,37.5,0.05350694444444444,0.001388888888888889
32.5,42.5,0.0,0.0
37.5,-42.5,0.0,0.0
37.5,-37.5,0.0,0.0
37.5,-32.5,0.0,0.0
37.5,-27.5,0.0,0.0
37.5,-22.5,0.0,0.0
37.5,-17.5,0.6460416666666667,0.0125
37.5,-12.5,0.03836805555555556,0.001388888888888889
37.5,-7.5,0.27104166666666674,0.00625
37.5,-2.5,0.5357291666666666,0.007291666666666667
37.5,2.5,12.8107986111111,0.13368055555555555
37.5,7.5,4.3190972222222195,0.05277777777777778
37.5,12.5,10.906250000000004,0.121875
37.5,17.5,0.07038194444444446,0.001736111111111111
37.5,22.5,0.9422916666666665,0.01597222222222222
37.5,27.5,0.16902777777777778,0.001736111111111111
37.5,32.5,0.29916666666666664,0.0024305555555555556
37.5,37.5,0.17756944444444445,0.0024305555555555556
37.5,42.5,0.0,0.0
42.5,-42.5,0.0,0.0
42.5,-37.5,0.0,0.0
42.5,-32.5,0.0,0.0
42.5,-27.5,0.0,0.0
42.5,-22.5,0.010208333333333333,0.00034722222222222224
42.5,-17.5,0.0,0.0
42.5,-12.5,0.0,0.0
42.5,-7.5,0.0,0.0
42.5,-2.5,0.0,0.0
42.5,2.5,1.1696874999999998,0.013541666666666667
42.5,7.5,0.4619444444444443,0.006597222222222222
42.5,12.5,0.9956944444444445,0.009027777777777777
42.5,17.5,0.5634027777777777,0.008680555555555556
42.5,22.5,0.2705902777777778,0.009722222222222222
42.5,27.5,0.1589583333333333,0.0020833333333333333
42.5,32.5,0.0,0.0
42.5,37.5,0.8903819444444445,0.009722222222222222
42.5,42.5,0.0,0.0
47.5,-42.5,0.0,0.0
47.5,-37.5,0.0,0.0
47.5,-32.5,0.0,0.0
47.5,-27.5,0.0,0.0
47.5,-22.5,0.011493055555555557,0.00034722222222222224
47.5,-17.5,1.5505555555555564,0.021875
47.5,-12.5,0.0,0.0
47.5,-7.5,0.0,0.0
47.5,-2.5,0.0,0.0
47.5,2.5,0.0,0.0
47.5,7.5,0.008541666666666668,0.00034722222222222224
47.5,12.5,0.5390277777777778,0.006597222222222222
47.5,17.5,0.3508333333333333,0.0045138888888888885
47.5,22.5,0.024826388888888887,0.0010416666666666667
47.5,27.5,0.4382638888888889,0.003125
47.5,32.5,9.683229166666662,0.08090277777777778
47.5,37.5,0.0,0.0
47.5,42.5,0.0,0.0
